3,1988,180,6,8.5,  #,Robinson,et,al.,1988, A&A,193, 60;,CO, southern,hemisphere, 2AR0,,,,,,,,,,,,,,,,,,
10,1988,272,26,8.5,  #,Dubath,et,al.,1988, A&A,205, 77;,2AR0, late-type,supergiants,,,,,,,,,,,,,,,,,,,
1,1990,209,2,8.5,  #,Alvarez,et,al.,1990, ApJ,348, 495;,CO, flat,RC;,R0,unclear,but,not,scalable,,,,,,,,,,,,,,
5,1992,210,25,7.9,  #,Merrifield,1992, AJ,103, 1552;,HI, based,on,Kerr,&,Lynden-Bell,1986,,,,,,,,,,,,,,,,,
5,1992,180,20,7.9,  #,Merrifield,1992, AJ,103, 1552;,HI, rotation,curves,of,external,galaxies,,,,,,,,,,,,,,,,,,
5,1992,200,10,7.9,  #,Merrifield,1992, AJ,103, 1552;,HI, compromise, also,Merrifield,1992, AIPC,278,437,,,,,,,,,,,,,,,,
0,1992,248,16,8.5,  #,Caldwell,et,al.,1992, ASPC,30, 111;,average,result, Cepheids, Oort,constants,,,,,,,,,,,,,,,,,
0,1993,227,23,8.5,  #,Schechter,1993, AIPC,278,571,(published,in,1992!);,651,carbon,stars,includes,solar,peculiar,motion,,,,,,,,,,,,,,
1,1994,200,30,8,  #,Kuijken,&,Tremaine,1994, ApJ,421, 178;,model,analysis, 180-200,km,s-1;,OH/IR,stars, GCs, high-velocity,stars, PNe.,not,including,CO,because,of,asymmetries,,,,,
5,1994,257,7,8.09, #,Pont,et,al.,1994, A&A,285, 415;,107,classical,Cepheids, 2AR0;,see,also,IAUS,169,661,(1996);,Msngr,76,45,-1994,,,,,,,,
1,1996,220,22,8.5,  #,Kochanek,1996, ApJ,457, 228;,Galactic,satellites, based,on,Fich, Blitz,&,Stark,(1989);,Fich,&,Tremaine,-1991,,,,,,,,,,,
1,1996,220,30,8.5,  #,Kochanek,1996, ApJ,457, 228;,Galactic,satellites, assuming,Leo,I,is,bound,,,,,,,,,,,,,,,,,
10,1996,223,14,8.5,  #,Frink,et,al.,1996, A&A,314, 430;,197,OB,stars,(HII,regions),144,CCs, Oort,constants,,,,,,,,,,,,,
7,1997,210,25,8,  #,Sackett,1997, ApJ,483, 103;,HI, literature,,,,,,,,,,,,,,,,,,,,,,
7,1997,236,13,8,  #,Sackett,1997, ApJ,483,103, based,on,Backer,1996, IAUS,169, 193;,Sgr,A*,kinematics,,,,,,,,,,,,,,
8,1997,196,6,7.6,  #,Honma,&,Sofue,1997, PASJ,49, 453;,HI, CO, PNe,,,,,,,,,,,,,,,,,,,
11,1997,231,15,8.5,  #,Feast,&,Whitelock,1997, MNRAS,291, 683;,220,Cepheids,(Hipparcos), Oort,constants,,,,,,,,,,,,,,,,,
2,1998,237,12,7.66, #,Metzger,et,al.,1998, AJ,115, 635;,Cepheids,,,,,,,,,,,,,,,,,,,,,
4,1998,268.7,11.9,8.5,  #,Miyamoto,&,Zhu,1998, AJ,115, 1483;,1352,O-B5,stars,(Hipparcos),,,,,,,,,,,,,,,,,,
